"Year","Tier","Range","Pass","Gen","Pedigree","Source","id"
2015,2,22,3,49,"176","PI 233313","2015_22_3"
2015,2,21,10,25,"CL17","Ames 27024","2015_21_10"
2015,2,38,3,529,"MS68","Ames 24711","2015_38_3"
2015,3,40,50,1783,"Tx441","NSL 43597","2015_40_50"
2015,3,35,65,1645,"TZEI 10","PI 641070","2015_35_65"
2015,3,27,52,1391,"245","NSL 8579","2015_27_52"
2015,2,28,5,231,"W182BN","PI 587155","2015_28_5"
2015,2,21,20,35,"C49A","Ames 27067","2015_21_20"
2015,3,21,42,1198,"AusTRCF 306293","NSL 437979","2015_21_42"
2015,2,31,27,341,"MS24A","Ames 24708","2015_31_27"
2015,3,6,53,754,"Hi47","PI 641229","2015_6_53"
2015,2,34,17,422,"A34","Ames 23391","2015_34_17"
2015,2,40,28,613,"IBB14","PI 601565","2015_40_28"
2015,3,40,48,1781,"H124w","Ames 26806","2015_40_48"
2015,3,38,60,1733,"TZEI 8","PI 641068","2015_38_60"
2015,3,27,43,1382,"CI 42B","Ames 28951","2015_27_43"
2015,3,30,44,1474,"CI 7 Goodman-Buckler","Ames 28367","2015_30_44"
2015,3,11,45,898,"R941","NSL 29287","2015_11_45"
2015,3,31,61,1519,"A","NSL 30861","2015_31_61"
2015,2,39,32,586,"W182D","NSL 30063","2015_39_32"
2015,3,27,63,1401,"CI 3A","Ames 26116","2015_27_63"
2015,2,33,5,381,"A619E","Ames 28170","2015_33_5"
2015,3,17,60,1094,"LH195","PI 537097","2015_17_60"
2015,2,26,18,183,"LH163","PI 538008","2015_26_18"
2015,2,23,10,85,"ND251","PI 550532","2015_23_10"
2015,3,18,60,1124,"B109","PI 597927","2015_18_60"
2015,3,37,41,1682,"AusTRCF 305821","NSL 437895","2015_37_41"
2015,3,11,55,908,"NY 318 (Nevey Yaar)","PI 200187","2015_11_55"
2015,3,33,54,1574,"NC222","Ames 12729","2015_33_54"
2015,2,34,20,425,"A264","Ames 23409","2015_34_20"
2015,3,15,44,1018,"B108","PI 597926","2015_15_44"
2015,2,24,28,132,"MS24","Ames 24707","2015_24_28"
2015,3,36,37,1649,"NO. 1175 INBRED","PI 303937","2015_36_37"
2015,2,28,8,234,"PHR25","PI 601469","2015_28_8"
2015,2,23,29,103,"ND262","PI 522250","2015_23_29"
2015,2,31,8,324,"N216","PI 596355","2015_31_8"
2015,3,28,67,1435,"T226","PI 550521","2015_28_67"
2015,2,24,12,117,"A450","Ames 23437","2015_24_12"
2015,2,26,10,176,"4550. INBRED","PI 415080","2015_26_10"
2015,3,17,65,1099,"LH213","PI 547090","2015_17_65"
2015,3,6,55,756,"58609 A632 (Meth) Bc5S4","PI 648424","2015_6_55"
2015,2,22,5,51,"S43","Ames 23510","2015_22_5"
2015,3,4,62,701,"AusTRCF 306323","NSL 438009","2015_4_62"
2015,2,28,1,227,"A96","Ames 23393","2015_28_1"
2015,2,20,28,16,"A499","Ames 23443","2015_20_28"
2015,3,8,60,821,"PHT60","PI 601574","2015_8_60"
2015,3,31,63,1521,"L317","NSL 65873","2015_31_63"
2015,2,39,20,575,"SD42","PI 508277","2015_39_20"
