"ID","Pedigree","Comments","INDV","F_MISS","acc_v2.7","id_v2.7"
"NSL 65866","B14","other","NSL65866:250031578",0.0689466,"NSL65866",250031578
"NSL 67790","Mo305ae","other","NSL67790:250035135",0.151437,"NSL67790",250035135
"NSL 67790","Mo305ae","other","NSL67790:250040798",0.14014,"NSL67790",250040798
"NSL 68211","Oh422","other","NSL68211:250033607",0.237014,"NSL68211",250033607
"NSL 68211","Oh422","other","NSL68211:250041442",0.502025,"NSL68211",250041442
"NSL 75976","IA DS 61","popcorn","NSL75976:250035004",0.233163,"NSL75976",250035004
"NSL 75976","IA DS 61","popcorn","NSL75976:250041710",0.239227,"NSL75976",250041710
"NSL 81595","A238","other","NSL81595:250032580",0.217965,"NSL81595",250032580
"NSL 81595","A238","other","NSL81595:250041537",0.210003,"NSL81595",250041537
"NSL 81600","A660","other","NSL81600:250034831",0.164876,"NSL81600",250034831
"NSL 81600","A660","other","NSL81600:250041483",0.200924,"NSL81600",250041483
"PI 186215","INBRED 2-687","other","PI186215:250031371",0.256757,"PI186215",250031371
"PI 186215","INBRED 2-687","other","PI186215:250041536",0.458028,"PI186215",250041536
"PI 198901","4F-342 CM 4","other","PI198901:250035090",0.382491,"PI198901",250035090
"PI 198901","4F-342 CM 4","other","PI198901:250040799",0.204071,"PI198901",250040799
"PI 200182","NY 159 (Neveh Yaar)","other","PI200182:250034751",0.436916,"PI200182",250034751
"PI 200182","NY 159 (Neveh Yaar)","other","PI200182:250040789",0.184208,"PI200182",250040789
"PI 221737","A17-1-1 INBRED (POTCHEFSTROOM PEARL)","other","PI221737:250031653",0.278308,"PI221737",250031653
"PI 221737","A17-1-1 INBRED (POTCHEFSTROOM PEARL)","other","PI221737:250042416",0.298387,"PI221737",250042416
"PI 221747","E205-1-1-1 INBRED (S5 SYN. ANVELD)","other","PI221747:250041449",0.386981,"PI221747",250041449
"PI 221747","E205-1-1-1 INBRED (S5 SYN. ANVELD)","other","PI221747:250032768",0.252317,"PI221747",250032768
"PI 233314","226","sweet corn","PI233314:250035262",0.337261,"PI233314",250035262
"PI 233314","226","sweet corn","PI233314:250040801",0.182618,"PI233314",250040801
"PI 233320","883","sweet corn","PI233320:250041471",0.18768,"PI233320",250041471
"PI 233320","883","sweet corn","PI233320:250032421",0.200258,"PI233320",250032421
"PI 257507","F7","other","PI257507:250032167",0.19522,"PI257507",250032167
"PI 257507","F7","other","PI257507:250041400",0.198408,"PI257507",250041400
"PI 257507","F7","other","PI257507:250035228",0.210908,"PI257507",250035228
"PI 340829","T146","other","PI340829:250034845",0.390729,"PI340829",250034845
"PI 340829","T146","other","PI340829:250040793",0.197601,"PI340829",250040793
"PI 340837","R-4524","popcorn","PI340837:250034952",0.99933,"PI340837",250034952
"PI 340837","R-4524","popcorn","PI340837:250042565",0.279794,"PI340837",250042565
"PI 340861","BR-28 INBR.FR.YEL.PEARL","other","PI340861:250035067",0.281479,"PI340861",250035067
"PI 340861","BR-28 INBR.FR.YEL.PEARL","other","PI340861:250040797",0.151637,"PI340861",250040797
"PI 340875","IA DS 43-W","popcorn","PI340875:250032841",0.352095,"PI340875",250032841
"PI 340875","IA DS 43-W","popcorn","PI340875:250041578",0.392996,"PI340875",250041578
"PI 358527","STRAIN 304A-408-68(B)","sweet corn","PI358527:250041618",0.357985,"PI358527",250041618
"PI 358527","STRAIN 304A-408-68(B)","sweet corn","PI358527:250031281",0.320104,"PI358527",250031281
"PI 358532","676A-348-68(B)","sweet corn","PI358532:250041611",0.371705,"PI358532",250041611
"PI 358532","676A-348-68(B)","sweet corn","PI358532:250033411",0.223314,"PI358532",250033411
